Country Name,1960,1960 Male,1960 Female,1970,1970 Male,1970 Female,1980,1980 Male,1980 Female,1990,1990 Male,1990 Female,2000,2000 Male,2000 Female,2010,2010 Male,2010 Female,2020,2020 Male,2020 Female,2022,2022 Male,2022 Female
Cabo Verde,209849,98870,110979,287262,140735,146528,317234,148798,168436,364563,174630,189934,458251,222518,235732,521212,259594,261618,582640,289745,292895,593149,294911,298239
Costa Rica,1346302,682455,663847,1855697,937247,918450,2414303,1216189,1198113,3158253,1591754,1566500,3979193,2002605,1976587,4622252,2321021,2301231,5123105,2564622,2558483,5180829,2590709,2590119
Caribbean small states,4209141,2043707,2165436,4953314,2426689,2526624,5544061,2729442,2814620,6057836,2988288,3069551,6582141,3262567,3319576,7004428,3467933,3536494,7444768,3676608,3768158,7505478,3704275,3801204
Cuba,7267395,3719740,3547655,8869636,4507737,4361899,9809107,4984745,4824362,10626680,5375743,5250938,11105791,5574842,5530949,11290417,5637179,5653239,11300698,5616818,5683880,11212191,5562694,5649497
Curacao,124826,62090,62736,144739,71258,73481,148041,71851,76190,145400,69405,75995,133860,62100,71759,148703,68140,80563,154947,74175,80772,149996,71911,78085
Cayman Islands,8473,3979,4494,10533,5036,5497,17100,8366,8734,26027,12781,13246,39658,19468,20191,54074,26797,27277,67311,33941,33370,68706,34669,34036
Cyprus,585725,288377,297348,640804,317346,323459,679327,339860,339467,788500,399170,389330,948237,478455,469782,1129686,566592,563093,1237537,619932,617605,1251488,626775,624713
Czechia,9602006,4657460,4944546,9858071,4774422,5083649,10304193,4993203,5310991,10333355,5015335,5318020,10255063,4992793,5262270,10474410,5139122,5335288,10697858,5269701,5428157,10672118,5257222,5414896
Germany,72814900,34026240,38788660,78169289,36946325,41222965,78288576,37163759,41124817,79433029,38217081,41215948,82211508,39980931,42230577,81776930,40037382,41739548,83160871,41032520,42128351,83797985,41347556,42450429
Djibouti,85940,42556,43384,144379,71463,72915,324121,160619,163502,577173,286596,290577,742033,368935,373098,919199,457521,461678,1090156,541471,548686,1120849,556264,564584
Dominica,59379,27872,31508,68895,32560,36334,72978,36094,36884,69481,34472,35009,68346,34133,34213,68755,34717,34038,71995,35883,36112,72737,36161,36577
Denmark,4579603,2271887,2307716,4928757,2443340,2485417,5123027,2529219,2593808,5140939,2533756,2607184,5339616,2639463,2700153,5547683,2750241,2797441,5831404,2900148,2931257,5903037,2936844,2966194
Dominican Republic,3298021,1656257,1641764,4475871,2235957,2239914,5755800,2868585,2887215,7129004,3552383,3576621,8540791,4323440,4217351,9775755,4943959,4831796,10999664,5527482,5472181,11228821,5634261,5594560
Algeria,11394307,5746360,5647947,13795915,7053525,6742390,18739378,9552367,9187012,25518074,12970400,12547674,30774621,15698203,15076418,35856344,18282636,17573708,43451666,22132899,21318767,44903225,22862237,22040987
Ecuador,4618158,2304714,2313445,6172215,3090805,3081410,8135845,4080613,4055231,10449837,5239060,5210778,12626507,6323386,6303121,14989585,7498852,7490733,17588595,8790148,8798448,18001000,8984602,9016398
"Egypt, Arab Rep.",27034499,13636567,13397931,34781986,17529206,17252780,43748556,21945248,21803307,57214630,28850560,28364070,71371371,36137296,35234075,87252413,44175744,43076670,107465134,54357401,53107732,110990103,56124592,54865512
Eritrea,993568,489060,504508,1272748,625299,647449,1657982,812236,845746,2149960,1052778,1097182,2392880,1168024,1224856,3147727,1547741,1599986,3555868,1753513,1802355,3684032,1817878,1866154
Spain,30455000,14789308,15665693,33814531,16495603,17318928,37491165,18389957,19101208,38867322,19032084,19835238,40567864,19870967,20696897,46576897,23014206,23562691,47365655,23213643,24152012,47778340,23416745,24361595
Estonia,1211537,534938,676599,1360076,622307,737769,1477219,683975,793243,1569174,734308,834865,1396985,651122,745863,1331475,620239,711236,1329522,629878,699645,1348840,640385,708455
Ethiopia,21739710,10771242,10968468,28308246,14033184,14275062,34945469,17322370,17623100,47878073,23837617,24040457,67031867,33605361,33426506,89237791,44916491,44321299,117190911,58906550,58284361,123379924,61980175,61399749
Finland,4429634,2133317,2296318,4606307,2225004,2381303,4779535,2310844,2468691,4986431,2419442,2566989,5176209,2526195,2650014,5363352,2631775,2731578,5529543,2731054,2798488,5556106,2745395,2810712
Fiji,401841,207442,194399,527634,268980,258654,644582,326375,318207,780430,395252,385178,832509,423305,409203,905169,460442,444728,920422,461878,458543,929766,466140,463626
France,46649927,22627879,24022048,51724116,25245511,26478606,55052582,26881168,28171415,58044701,28243494,29801207,60921384,29550671,31370713,65030575,31477219,33553356,67571107,32670705,34900402,67971311,32847321,35123991
Faroe Islands,34154,17738,16416,38416,20021,18395,43054,22505,20549,47479,24738,22741,45660,23613,22047,48410,25139,23271,52415,27130,25285,53090,27482,25608
"Micronesia, Fed. Sts.",42986,21977,21009,58989,30099,28890,76299,38716,37583,98603,49988,48615,111709,56309,55399,107588,54246,53341,112106,56413,55694,114164,57387,56777
Gabon,513340,251226,262115,597192,293086,304106,749078,368854,380224,983028,485917,497111,1272935,633381,639553,1711105,865821,845284,2292573,1168822,1123751,2388992,1215505,1173488
United Kingdom,52400000,25309533,27090467,55663250,27012750,28650499,56314216,27396170,28918046,57247586,27816770,29430816,58892514,28695232,30197282,62766365,30805860,31960504,67081234,33133126,33948108,66971395,33094839,33876555
Georgia,3645600,1727281,1918318,4119900,1917920,2201980,4467700,2081929,2385772,4802000,2248824,2553176,4077131,1896863,2180268,3786695,1778715,2007980,3722716,1751135,1971581,3712502,1745015,1967488
Ghana,6911510,3532760,3378749,8861895,4434570,4427324,11865246,5901519,5963727,15446982,7651915,7795067,19665502,9759725,9905777,25574719,12742737,12831981,32180401,16051315,16129086,33475870,16695114,16780756
Gibraltar,21822,10428,11393,26685,13411,13274,28734,14498,14236,27317,13951,13366,27741,13844,13898,31262,15598,15664,32709,16337,16372,32649,16308,16341
Guinea,3516814,1746844,1769969,4222374,2091820,2130554,4972609,2431622,2540986,6354145,3122934,3231211,8336967,4109599,4227368,10270728,5035358,5235369,13205153,6518034,6687118,13859341,6854020,7005320
"Gambia, The",399649,196997,202651,528731,261226,267505,718586,354062,364524,1040616,515114,525501,1437539,709063,728476,1937275,958562,978713,2573995,1280033,1293962,2705992,1346335,1359657
Guinea-Bissau,577933,290443,287490,591663,291572,300091,831462,405704,425759,973551,473862,499688,1230849,599950,630899,1567220,768572,798649,2015828,994606,1021222,2105566,1039860,1065706
Equatorial Guinea,267351,131408,135943,316955,156257,160697,282509,138225,144284,465549,229490,236059,684977,345748,339229,1094524,569731,524794,1596049,844153,751896,1674908,883926,790982
Greece,8331725,4070317,4261408,8792806,4267600,4525207,9642505,4712495,4930011,10196792,5041099,5155693,10805808,5383939,5421868,11121341,5492782,5628559,10698599,5242307,5456292,10426919,5102926,5323993
Grenada,93772,43587,50184,98794,47230,51563,94838,46306,48531,99047,49267,49780,107432,54035,53397,114039,57562,56477,123663,61916,61746,125438,62721,62717
Greenland,32500,16537,15962,46400,24480,21920,50200,27269,22931,55600,30079,25521,56200,30058,26141,56905,30188,26717,56367,29711,26657,56661,29753,26909
Guatemala,4128880,2111758,2017122,5455197,2776446,2678750,6890346,3480746,3409601,9050115,4519890,4530225,11589761,5760216,5829545,14259687,7068420,7191268,16858333,8348500,8509834,17357886,8590378,8767508
Guam,72374,44329,28046,88300,48913,39387,110286,57200,53086,138263,72873,65391,160188,81191,78996,164905,83691,81214,169231,85317,83914,171774,86446,85329
Guyana,571990,285255,286736,705261,350955,354307,778176,386243,391933,747116,369694,377423,759051,378495,380557,747932,371984,375947,797202,389899,407303,808726,395982,412743
"Hong Kong SAR, China",3114671,1605390,1509281,3959000,2017523,1941477,5063100,2647535,2415565,5704500,2903555,2800945,6665000,3284799,3380202,7024200,3306449,3717750,7481000,3452974,4028025,7346100,3384592,3961508
Honduras,2078617,1041528,1037090,2782753,1396377,1386376,3777990,1904243,1873747,5053234,2552537,2500697,6656725,3364459,3292265,8450933,4274733,4176200,10121763,5112980,5008783,10432860,5267354,5165506
Croatia,4140181,1967124,2173057,4412252,2127567,2284685,4599782,2222445,2377336,4777368,2310589,2466779,4468302,2144720,2323582,4295427,2067480,2227947,4047680,1969718,2077963,3855600,1877922,1977678
